timestamp,touch_type,start_x,start_y,end_x,end_y,pressure,touch_size,duration_ms,velocity,acceleration,hold_duration_ms,touch_area
1772090141054,TAP,702.58203,1115.4639,702.58203,1115.4639,1.0,1.0,67,0.0,0.0,67,1.0
1772090140579,TAP,157.48828,1026.4658,157.48828,1026.4658,1.0,1.0,52,0.0,0.0,52,1.0
1772090140077,TAP,639.08594,717.22363,639.08594,717.22363,1.0,1.0,71,0.0,0.0,71,1.0
1772090139562,TAP,183.1123,630.97656,183.1123,630.97656,1.0,1.0,40,0.0,0.0,40,1.0
1772090138879,TAP,149.36426,374.7334,149.36426,374.7334,1.0,1.0,84,0.0,0.0,84,1.0
1772090131721,TAP,490.34473,1026.0908,490.34473,1026.0908,1.0,1.0,50,0.0,0.0,50,1.0
1772090131187,TAP,424.22363,703.2246,424.22363,703.2246,1.0,1.0,59,0.0,0.0,59,1.0
1772090130721,TAP,737.4551,784.09766,737.4551,784.09766,1.0,1.0,50,0.0,0.0,50,1.0
1772090130293,TAP,367.35156,1099.7139,367.35156,1099.7139,1.0,1.0,41,0.0,0.0,41,1.0
1772090129831,TAP,583.58887,854.5957,583.58887,854.5957,1.0,1.0,53,0.0,0.0,53,1.0
1772090129357,TAP,461.7207,815.8467,461.7207,815.8467,1.0,1.0,63,0.0,0.0,63,1.0
1772090128856,TAP,342.10254,795.4717,342.10254,795.4717,1.0,1.0,52,0.0,0.0,52,1.0
1772090128399,TAP,369.60156,1015.2168,369.60156,1015.2168,1.0,1.0,33,0.0,0.0,33,1.0
1772090127932,TAP,704.58203,850.5957,704.58203,850.5957,1.0,1.0,56,0.0,0.0,56,1.0
1772090127478,TAP,470.0957,504.9795,470.0957,504.9795,1.0,1.0,50,0.0,0.0,50,1.0
1772090126970,TAP,261.48242,1009.0918,261.48242,1009.0918,1.0,1.0,52,0.0,0.0,52,1.0
1772090126494,TAP,448.09668,546.3535,448.09668,546.3535,1.0,1.0,68,0.0,0.0,68,1.0
1772090126072,TAP,586.58887,551.8535,586.58887,551.8535,1.0,1.0,10,0.0,0.0,10,1.0
1772090125554,TAP,275.23145,977.0928,275.23145,977.0928,1.0,1.0,41,0.0,0.0,41,1.0
1772090125072,TAP,643.83594,1008.4668,643.83594,1008.4668,1.0,1.0,48,0.0,0.0,48,1.0
