timestamp,key_code,dwell_time_ms,flight_time_ms,is_baseline
1772019342209,46,80,292,true
1772019342209,46,80,292,true
1772019342209,46,80,292,true
1772019341837,97,80,32,true
1772019341837,97,80,32,true
1772019341837,97,80,32,true
1772019341725,116,80,58,true
1772019341725,116,80,58,true
1772019341725,116,80,58,true
1772019341587,97,80,147,true
1772019341587,97,80,147,true
1772019341587,97,80,147,true
1772019341360,100,80,729,true
1772019341360,100,80,729,true
1772019341360,100,80,729,true
1772019340551,105,80,427,true
1772019340551,105,80,427,true
1772019340551,105,80,427,true
1772019340551,97,80,0,true
1772019340551,97,80,0,true
1772019340551,97,80,0,true
1772019340551,108,80,0,true
1772019340551,108,80,0,true
1772019340551,108,80,0,true
1772019340551,32,80,0,true
1772019340551,32,80,0,true
1772019340551,32,80,0,true
1772019340044,99,80,302,true
1772019340044,99,80,302,true
1772019340044,99,80,302,true
1772019339662,110,80,69,true
1772019339662,110,80,69,true
1772019339662,110,80,69,true
1772019339513,97,80,6,true
1772019339513,97,80,6,true
1772019339513,97,80,6,true
1772019339427,110,80,114,true
1772019339427,110,80,114,true
1772019339427,110,80,114,true
1772019339233,105,80,178,true
1772019339233,105,80,178,true
1772019339233,105,80,178,true
1772019338975,102,80,987,true
1772019338975,102,80,987,true
1772019338975,102,80,987,true
1772019337908,32,80,12,true
1772019337908,32,80,12,true
1772019337908,32,80,12,true
1772019337816,114,80,86,true
1772019337816,114,80,86,true
1772019337816,114,80,86,true
1772019337650,117,80,105,true
1772019337650,117,80,105,true
1772019337650,117,80,105,true
1772019337465,111,80,233,true
1772019337465,111,80,233,true
1772019337465,111,80,233,true
1772019337152,121,80,1601,true
1772019337152,121,80,1601,true
1772019337152,121,80,1601,true
1772019335471,99,80,575,true
1772019335471,99,80,575,true
1772019335471,99,80,575,true
1772019335471,116,80,0,true
1772019335471,116,80,0,true
1772019335471,116,80,0,true
1772019335471,32,80,0,true
1772019335471,32,80,0,true
1772019335471,32,80,0,true
1772019334816,101,80,116,true
1772019334816,101,80,116,true
1772019334816,101,80,116,true
1772019334620,116,80,160,true
1772019334620,116,80,160,true
1772019334620,116,80,160,true
1772019334380,111,80,140,true
1772019334380,111,80,140,true
1772019334380,111,80,140,true
1772019334160,114,80,88,true
1772019334160,114,80,88,true
1772019334160,114,80,88,true
1772019333992,112,80,569,true
1772019333992,112,80,569,true
1772019333992,112,80,569,true
1772019333343,32,80,30,true
1772019333343,32,80,30,true
1772019333343,32,80,30,true
1772019333233,101,80,121,true
1772019333233,101,80,121,true
1772019333233,101,80,121,true
1772019333032,119,80,91,true
1772019333032,119,80,91,true
1772019333032,119,80,91,true
1772019332861,32,80,46,true
1772019332861,32,80,46,true
1772019332861,32,80,46,true
1772019332735,100,80,98,true
1772019332735,100,80,98,true
1772019332735,100,80,98,true
1772019332557,110,80,52,true
1772019332557,110,80,52,true
1772019332557,110,80,52,true
1772019332425,97,80,444,true
1772019332425,97,80,444,true
1772019332425,97,80,444,true
1772019331901,32,80,123,true
1772019331901,32,80,123,true
1772019331901,32,80,123,true
1772019331698,121,80,145,true
1772019331698,121,80,145,true
1772019331698,121,80,145,true
1772019331473,116,80,106,true
1772019331473,116,80,106,true
1772019331473,116,80,106,true
1772019331287,105,80,141,true
1772019331287,105,80,141,true
1772019331287,105,80,141,true
1772019331066,114,80,98,true
1772019331066,114,80,98,true
1772019331066,114,80,98,true
1772019330888,111,80,512,true
1772019330888,111,80,512,true
1772019330888,111,80,512,true
1772019330296,105,80,177,true
1772019330296,105,80,177,true
1772019330296,105,80,177,true
1772019330039,114,80,60,true
1772019330039,114,80,60,true
1772019330039,114,80,60,true
1772019329899,112,80,137,true
1772019329899,112,80,137,true
1772019329899,112,80,137,true
1772019329682,32,80,101,true
1772019329682,32,80,101,true
1772019329682,32,80,101,true
1772019329501,112,80,91,true
1772019329501,112,80,91,true
1772019329501,112,80,91,true
1772019329330,111,80,107,true
1772019329330,111,80,107,true
1772019329330,111,80,107,true
1772019329143,116,80,1019,true
1772019329143,116,80,1019,true
1772019329143,116,80,1019,true
1772019328044,32,80,29,true
1772019328044,32,80,29,true
1772019328044,32,80,29,true
1772019327935,114,80,87,true
1772019327935,114,80,87,true
1772019327935,114,80,87,true
1772019327768,117,80,105,true
1772019327768,117,80,105,true
1772019327768,117,80,105,true
1772019327583,111,80,140,true
1772019327583,111,80,140,true
1772019327583,111,80,140,true
1772019327363,32,80,0,true
1772019327363,32,80,0,true
1772019327363,32,80,0,true
1772019327301,115,80,75,true
1772019327301,115,80,75,true
1772019327301,115,80,75,true
1772019327146,105,80,525,true
1772019327146,105,80,525,true
1772019327146,105,80,525,true
1772019326541,32,80,125,true
1772019326541,32,80,125,true
1772019326541,32,80,125,true
1772019326336,121,80,101,true
1772019326336,121,80,101,true
1772019326336,121,80,101,true
1772019326155,116,80,417,true
