timestamp,key_code,dwell_time_ms,flight_time_ms,is_baseline
1772089315202,32,80,1,false
1772089315202,32,80,1,false
1772089315202,32,80,1,false
1772089315202,32,80,1,false
1772089315202,32,80,1,false
1772089315202,32,80,1,false
1772089315202,32,80,1,false
1772089315121,114,80,96,false
1772089315121,114,80,96,false
1772089315121,114,80,96,false
1772089315121,114,80,96,false
1772089315121,114,80,96,false
1772089315121,114,80,96,false
1772089315121,114,80,96,false
1772089314945,101,80,110,false
1772089314945,101,80,110,false
1772089314945,101,80,110,false
1772089314945,101,80,110,false
1772089314945,101,80,110,false
1772089314945,101,80,110,false
1772089314945,101,80,110,false
1772089314755,102,80,177,false
1772089314755,102,80,177,false
1772089314755,102,80,177,false
1772089314755,102,80,177,false
1772089314755,102,80,177,false
1772089314755,102,80,177,false
1772089314755,102,80,177,false
1772089314498,115,80,58,false
1772089314498,115,80,58,false
1772089314498,115,80,58,false
1772089314498,115,80,58,false
1772089314498,115,80,58,false
1772089314498,115,80,58,false
1772089314498,115,80,58,false
1772089314360,110,80,105,false
1772089314360,110,80,105,false
1772089314360,110,80,105,false
1772089314360,110,80,105,false
1772089314360,110,80,105,false
1772089314360,110,80,105,false
1772089314360,110,80,105,false
1772089314175,97,80,63,false
1772089314175,97,80,63,false
1772089314175,97,80,63,false
1772089314175,97,80,63,false
1772089314175,97,80,63,false
1772089314175,97,80,63,false
1772089314175,97,80,63,false
1772089314032,114,80,108,false
1772089314032,114,80,108,false
1772089314032,114,80,108,false
1772089314032,114,80,108,false
1772089314032,114,80,108,false
1772089314032,114,80,108,false
1772089314032,114,80,108,false
1772089313844,116,80,831,false
1772089313844,116,80,831,false
1772089313844,116,80,831,false
1772089313844,116,80,831,false
1772089313844,116,80,831,false
1772089313844,116,80,831,false
1772089313844,116,80,831,false
1772089312933,32,80,100,false
1772089312933,32,80,100,false
1772089312933,32,80,100,false
1772089312933,32,80,100,false
1772089312933,32,80,100,false
1772089312933,32,80,100,false
1772089312933,32,80,100,false
1772089312753,97,80,902,false
1772089312753,97,80,902,false
1772089312753,97,80,902,false
1772089312753,97,80,902,false
1772089312753,97,80,902,false
1772089312753,97,80,902,false
1772089312753,97,80,902,false
1772089311771,105,80,248,false
1772089311771,105,80,248,false
1772089311771,105,80,248,false
1772089311771,105,80,248,false
1772089311771,105,80,248,false
1772089311771,105,80,248,false
1772089311771,105,80,248,false
1772089311771,110,80,0,false
1772089311771,110,80,0,false
1772089311771,110,80,0,false
1772089311771,110,80,0,false
1772089311771,110,80,0,false
1772089311771,110,80,0,false
1772089311771,110,80,0,false
1772089311771,103,80,0,false
1772089311771,103,80,0,false
1772089311771,103,80,0,false
1772089311771,103,80,0,false
1772089311771,103,80,0,false
1772089311771,103,80,0,false
1772089311771,103,80,0,false
1772089311771,32,80,0,false
1772089311771,32,80,0,false
1772089311771,32,80,0,false
1772089311771,32,80,0,false
1772089311771,32,80,0,false
1772089311771,32,80,0,false
1772089311771,32,80,0,false
1772089311443,109,80,53,false
1772089311443,109,80,53,false
1772089311443,109,80,53,false
1772089311443,109,80,53,false
1772089311443,109,80,53,false
1772089311443,109,80,53,false
1772089311443,109,80,53,false
1772089311310,114,80,99,false
1772089311310,114,80,99,false
1772089311310,114,80,99,false
1772089311310,114,80,99,false
1772089311310,114,80,99,false
1772089311310,114,80,99,false
1772089311310,114,80,99,false
1772089311131,105,80,66,false
1772089311131,105,80,66,false
1772089311131,105,80,66,false
1772089311131,105,80,66,false
1772089311131,105,80,66,false
1772089311131,105,80,66,false
1772089311131,105,80,66,false
1772089310985,102,80,15,false
1772089310985,102,80,15,false
1772089310985,102,80,15,false
1772089310985,102,80,15,false
1772089310985,102,80,15,false
1772089310985,102,80,15,false
1772089310985,102,80,15,false
1772089310890,110,80,116,false
1772089310890,110,80,116,false
1772089310890,110,80,116,false
1772089310890,110,80,116,false
1772089310890,110,80,116,false
1772089310890,110,80,116,false
1772089310890,110,80,116,false
1772089310694,111,80,106,false
1772089310694,111,80,106,false
1772089310694,111,80,106,false
1772089310694,111,80,106,false
1772089310694,111,80,106,false
1772089310694,111,80,106,false
1772089310694,111,80,106,false
1772089310508,99,80,621,false
1772089310508,99,80,621,false
1772089310508,99,80,621,false
1772089310508,99,80,621,false
1772089310508,99,80,621,false
1772089310508,99,80,621,false
1772089310508,99,80,621,false
1772089309807,32,80,10,false
1772089309807,32,80,10,false
1772089309807,32,80,10,false
1772089309807,32,80,10,false
1772089309807,32,80,10,false
1772089309807,32,80,10,false
1772089309807,32,80,10,false
1772089309717,101,80,126,false
1772089309717,101,80,126,false
1772089309717,101,80,126,false
1772089309717,101,80,126,false
1772089309717,101,80,126,false
1772089309717,101,80,126,false
1772089309717,101,80,126,false
1772089309511,114,80,0,false
1772089309511,114,80,0,false
1772089309511,114,80,0,false
1772089309511,114,80,0,false
1772089309511,114,80,0,false
1772089309511,114,80,0,false
1772089309511,114,80,0,false
1772089309443,111,80,124,false
1772089309443,111,80,124,false
1772089309443,111,80,124,false
1772089309443,111,80,124,false
1772089309443,111,80,124,false
1772089309443,111,80,124,false
1772089309443,111,80,124,false
1772089309239,102,80,122,false
1772089309239,102,80,122,false
1772089309239,102,80,122,false
1772089309239,102,80,122,false
1772089309239,102,80,122,false
1772089309239,102,80,122,false
1772089309239,102,80,122,false
1772089309037,101,80,32,false
1772089309037,101,80,32,false
1772089309037,101,80,32,false
1772089309037,101,80,32,false
1772089309037,101,80,32,false
1772089309037,101,80,32,false
1772089309037,101,80,32,false
1772089308925,98,80,937,false
1772089308925,98,80,937,false
1772089308925,98,80,937,false
1772089308925,98,80,937,false
1772089308925,98,80,937,false
1772089308925,98,80,937,false
1772089308925,98,80,937,false
1772089307908,32,80,77,false
1772089307908,32,80,77,false
1772089307908,32,80,77,false
1772089307908,32,80,77,false
1772089307908,32,80,77,false
1772089307908,32,80,77,false
1772089307908,32,80,77,false
1772089307751,115,80,44,false
1772089307751,115,80,44,false
1772089307751,115,80,44,false
1772089307751,115,80,44,false
1772089307751,115,80,44,false
1772089307751,115,80,44,false
1772089307751,115,80,44,false
1772089307627,108,80,118,false
1772089307627,108,80,118,false
1772089307627,108,80,118,false
1772089307627,108,80,118,false
1772089307627,108,80,118,false
1772089307627,108,80,118,false
1772089307627,108,80,118,false
1772089307429,105,80,21,false
1772089307429,105,80,21,false
1772089307429,105,80,21,false
1772089307429,105,80,21,false
1772089307429,105,80,21,false
1772089307429,105,80,21,false
1772089307429,105,80,21,false
1772089307328,97,80,59,false
1772089307328,97,80,59,false
1772089307328,97,80,59,false
1772089307328,97,80,59,false
1772089307328,97,80,59,false
1772089307328,97,80,59,false
1772089307328,97,80,59,false
1772089307189,116,80,90,false
1772089307189,116,80,90,false
1772089307189,116,80,90,false
1772089307189,116,80,90,false
1772089307189,116,80,90,false
1772089307189,116,80,90,false
1772089307189,116,80,90,false
1772089307019,101,80,147,false
1772089307019,101,80,147,false
1772089307019,101,80,147,false
1772089307019,101,80,147,false
1772089307019,101,80,147,false
1772089307019,101,80,147,false
1772089307019,101,80,147,false
1772089306792,100,80,754,false
1772089306792,100,80,754,false
1772089306792,100,80,754,false
1772089306792,100,80,754,false
1772089306792,100,80,754,false
1772089306792,100,80,754,false
1772089306792,100,80,754,false
1772089305958,105,80,506,false
1772089305958,105,80,506,false
1772089305958,105,80,506,false
1772089305958,105,80,506,false
1772089305958,105,80,506,false
1772089305958,105,80,506,false
1772089305958,105,80,506,false
1772089305958,112,80,0,false
1772089305958,112,80,0,false
1772089305958,112,80,0,false
1772089305958,112,80,0,false
1772089305958,112,80,0,false
1772089305958,112,80,0,false
1772089305958,112,80,0,false
1772089305958,105,80,0,false
1772089305958,105,80,0,false
1772089305958,105,80,0,false
1772089305958,105,80,0,false
1772089305958,105,80,0,false
1772089305958,105,80,0,false
1772089305958,105,80,0,false
1772089305958,101,80,0,false
1772089305958,101,80,0,false
1772089305958,101,80,0,false
1772089305958,101,80,0,false
1772089305958,101,80,0,false
1772089305958,101,80,0,false
1772089305958,101,80,0,false
1772089305958,110,80,0,false
1772089305958,110,80,0,false
1772089305958,110,80,0,false
1772089305958,110,80,0,false
1772089305958,110,80,0,false
1772089305958,110,80,0,false
1772089305958,110,80,0,false
1772089305958,116,80,0,false
1772089305958,116,80,0,false
1772089305958,116,80,0,false
1772089305958,116,80,0,false
