timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch,roll,azimuth,filtered_accel_x,filtered_accel_y,filtered_accel_z,device_state
1772088936342,-0.13467385,5.4922986,6.301539,-0.7906919,-0.6704503,-0.28522435,43.292286,-0.7668017,0.0,0.080086045,5.6377463,5.983709,HELD_IN_HAND
1772088936342,-0.18136078,5.213374,8.380903,-0.7906919,-0.6704503,-0.28522435,40.52628,0.8926714,0.0,-0.10007763,5.4914603,6.422925,UNKNOWN
1772088936276,-0.13467385,5.4922986,6.301539,-0.43476072,-0.5583313,-0.4776376,42.436626,-2.5835164,0.0,0.2764106,5.6066217,6.125924,HELD_IN_HAND
1772088936275,0.24959552,5.7508726,5.899313,-0.43476072,-0.5583313,-0.4776376,42.1579,-3.5424712,0.0,0.3833117,5.6167974,6.191765,HELD_IN_HAND
1772088936210,0.24959552,5.7508726,5.899313,-0.02157159,-0.30772802,-0.3046654,38.072166,-7.5469394,0.0,0.9671377,5.768111,7.2999215,HELD_IN_HAND
1772088936210,0.24959552,5.7508726,5.899313,-0.02157159,-0.30772802,-0.3046654,40.871525,-5.35443,0.0,0.61351424,5.689342,6.5458665,HELD_IN_HAND
1772088936209,1.2384008,5.981913,7.313089,-0.02157159,-0.30772802,-0.3046654,35.35202,-8.651548,0.0,1.2287042,5.794567,8.075283,HELD_IN_HAND
1772088936180,1.2384008,5.981913,7.313089,0.13435638,-0.10825742,-0.04034686,35.35202,-8.651548,0.0,1.2287042,5.794567,8.075283,HELD_IN_HAND
1772088936180,1.2384008,5.981913,7.313089,0.13435638,-0.10825742,-0.04034686,35.35202,-8.651548,0.0,1.2287042,5.794567,8.075283,HELD_IN_HAND
1772088936179,1.2384008,5.981913,7.313089,0.13435638,-0.10825742,-0.04034686,35.35202,-8.651548,0.0,1.2287042,5.794567,8.075283,UNKNOWN
1772088936115,0.30825347,5.121197,8.905233,0.38043228,-0.59122133,0.32903332,28.752,8.205789,0.0,-1.2731168,4.8939877,8.8285,UNKNOWN
1772088936115,0.30825347,5.121197,8.905233,0.38043228,-0.59122133,0.32903332,28.752,8.205789,0.0,-1.2731168,4.8939877,8.8285,UNKNOWN
1772088936114,0.30825347,5.121197,8.905233,0.38043228,-0.59122133,0.32903332,28.752,8.205789,0.0,-1.2731168,4.8939877,8.8285,UNKNOWN
1772088936049,-3.2555158,4.396951,8.507795,0.05286371,-0.24647537,-0.32637015,29.061487,15.809975,0.0,-2.4602818,5.0182467,8.688678,UNKNOWN
