timestamp,touch_type,start_x,start_y,end_x,end_y,pressure,touch_size,duration_ms,velocity,acceleration,hold_duration_ms,touch_area
1772088997010,TAP,211.98535,819.8467,211.98535,819.8467,1.0,1.0,75,0.0,0.0,75,1.0
1772088996288,TAP,565.71484,852.5957,565.71484,852.5957,1.0,1.0,81,0.0,0.0,81,1.0
1772088995277,TAP,464.0957,929.71875,464.0957,929.71875,1.0,1.0,58,0.0,0.0,58,1.0
1772088994783,TAP,419.09863,983.9668,419.09863,983.9668,1.0,1.0,28,0.0,0.0,28,1.0
1772088994138,TAP,602.8379,1010.2168,602.8379,1010.2168,1.0,1.0,48,0.0,0.0,48,1.0
1772088993436,TAP,293.60547,610.72656,293.60547,610.72656,1.0,1.0,59,0.0,0.0,59,1.0
1772088992928,TAP,206.23535,695.8496,206.23535,695.8496,1.0,1.0,40,0.0,0.0,40,1.0
1772088991953,TAP,269.48242,796.9717,269.48242,796.9717,1.0,1.0,26,0.0,0.0,26,1.0
1772088991354,TAP,445.34668,896.2197,445.34668,896.2197,1.0,1.0,45,0.0,0.0,45,1.0
1772088987588,TAP,268.35742,861.4707,268.35742,861.4707,1.0,1.0,29,0.0,0.0,29,1.0
1772088986978,TAP,622.7119,815.2217,622.7119,815.2217,1.0,1.0,52,0.0,0.0,52,1.0
1772088986518,TAP,654.70996,871.0947,654.70996,871.0947,1.0,1.0,59,0.0,0.0,59,1.0
1772088986111,TAP,455.34668,1100.0889,455.34668,1100.0889,1.0,1.0,33,0.0,0.0,33,1.0
1772088985654,TAP,666.834,1123.5889,666.834,1123.5889,1.0,1.0,62,0.0,0.0,62,1.0
1772088985108,TAP,194.11133,1143.7129,194.11133,1143.7129,1.0,1.0,54,0.0,0.0,54,1.0
1772088984623,TAP,284.35645,839.4707,284.35645,839.4707,1.0,1.0,25,0.0,0.0,25,1.0
1772088984046,TAP,263.60742,664.1006,263.60742,664.1006,1.0,1.0,26,0.0,0.0,26,1.0
